Date,OSHKOSH,STOCKBRIDGE,FOND DU LAC,MENASHA,Average,POYGAN*
13-Dec-2020 00,2.39,2.28,2.73,2.29,2.42,2.64
13-Dec-2020 01,2.40,2.28,2.60,2.31,2.40,2.64
13-Dec-2020 02,2.37,2.28,2.58,2.38,2.40,2.63
13-Dec-2020 03,2.40,2.30,2.61,2.30,2.40,2.65
13-Dec-2020 04,2.39,2.32,2.58,2.34,2.41,2.65
13-Dec-2020 05,2.40,2.29,2.45,2.40,2.38,2.63
13-Dec-2020 06,2.40,2.30,2.57,2.36,2.41,2.64
13-Dec-2020 07,2.41,2.32,2.54,2.33,2.40,2.64
13-Dec-2020 08,2.39,2.30,2.49,2.40,2.39,2.64
13-Dec-2020 09,2.40,2.30,2.51,2.36,2.39,2.64
13-Dec-2020 10,2.38,2.32,2.55,2.37,2.40,2.65
13-Dec-2020 11,2.39,2.30,2.45,2.40,2.38,2.65
13-Dec-2020 12,2.39,2.29,2.53,2.38,2.40,2.65
13-Dec-2020 13,2.40,2.31,2.56,2.33,2.40,2.65
13-Dec-2020 14,2.39,2.32,2.47,2.39,2.39,2.66
13-Dec-2020 15,2.39,2.31,2.43,2.40,2.38,2.67
13-Dec-2020 16,2.39,2.33,2.47,2.39,2.39,2.66
13-Dec-2020 17,2.38,2.35,2.41,2.42,2.39,2.67
13-Dec-2020 18,2.37,2.34,2.38,2.45,2.38,2.68
13-Dec-2020 19,2.36,2.35,2.46,2.39,2.39,2.67
13-Dec-2020 20,2.35,2.36,2.44,2.38,2.38,2.68
13-Dec-2020 21,2.34,2.32,2.46,2.38,2.38,2.66
13-Dec-2020 22,2.39,2.37,2.49,2.36,2.40,2.71
13-Dec-2020 23,2.34,2.33,2.47,2.41,2.39,2.68
